chrom	bin.left.bound	bin.center	cov.pop	cov.bg	cov.substracted	n.pairs
1	0.0	0.05	1230359.813942225	342894.6844977658	887465.129443927	16158836.0
1	0.1	0.15000000000000002	710301.8240617597	13234.936748656246	697066.8873140684	15897814.0
1	0.2	0.25	633529.9017549637	14056.514645926723	619473.3871090525	15918919.0
1	0.30000000000000004	0.35000000000000003	570147.4198818016	7033.977917067169	563113.4419610264	15897136.0
1	0.4	0.45	507328.4509344366	11254.858294262063	496073.59263347974	15880093.0
1	0.5	0.55	467065.84576468315	-350.2371782080574	467416.0829373629	15851026.0
1	0.6000000000000001	0.6500000000000001	428366.2731100502	7989.045388399363	420377.22771614656	15817990.0
1	0.7000000000000001	0.7500000000000001	380638.871864807	7050.836548772554	373588.03531166015	15784669.0
1	0.8	0.8500000000000001	343533.73724217	8101.913412369352	335431.82382667664	15777212.0
1	0.9	0.9500000000000001	329461.0144191148	6850.961778047269	322610.05263839854	15751023.0
1	1.0	1.05	298019.982391732	4372.60452832835	293647.37786261854	15717252.0
1	1.1	1.1500000000000001	266705.8787077135	5272.578421857693	261433.30028606017	15645200.0
1	1.2000000000000002	1.2500000000000002	241980.26912672978	6299.546637335245	235680.72248984265	15599470.0
1	1.3	1.35	231126.22963294442	3795.0399453014247	227331.18968795205	15578722.0
1	1.4000000000000001	1.4500000000000002	198332.68258692784	722.6216671557376	197610.06091995307	15494652.0
1	1.5	1.55	195634.10257509313	3293.7140052592076	192340.38856978246	15467167.0
1	1.6	1.6500000000000001	185971.60077847107	4159.236408242621	181812.36437030954	15441758.0
1	1.7000000000000002	1.7500000000000002	162792.93692407612	-2754.119053917472	165547.05597822406	15429275.0
1	1.8	1.85	156536.821685596	7901.851722711179	148634.96996325615	15401195.0
1	1.9000000000000001	1.9500000000000002	128200.21657778366	1694.5694725780515	126505.64710541372	15336091.0
1	2.0	2.05	117776.32347613972	22.638834238892507	117753.68464195087	15315904.0
1	2.1	2.15	116043.16478571517	9394.278402428323	106648.88638336859	15304489.0
1	2.2	2.25	90075.40538548607	-4082.5879493633934	94157.99333423888	15240586.0
1	2.3000000000000003	2.35	92769.41153424028	1886.1782632152208	90883.23327061499	15214201.0
1	2.4000000000000004	2.45	88426.28247740398	10461.886246331615	77964.39623091382	15157058.0
1	2.5	2.55	87663.79545315489	-1439.7853285199928	89103.58078131122	15112024.0
1	2.6	2.65	64100.98531899066	-568.6301613976893	64669.615479705295	15105045.0
1	2.7	2.75	62602.723991107356	8371.932587150388	54230.791403326875	15103740.0
1	2.8000000000000003	2.85	54353.61511936956	7118.983942680023	47234.63117588101	15076414.0
1	2.9000000000000004	2.95	49311.74044109196	5210.119261303045	44101.62117921559	15026453.0
1	3.0	3.05	52230.30140901679	1529.2706110918002	50701.030797197134	14976412.0
1	3.1	3.15	53971.34536194344	5284.612250175214	48686.73311090894	14946715.0
1	3.2	3.25	47071.78781614101	3768.487469711893	43303.300346035816	14932126.0
1	3.3000000000000003	3.35	39817.23761138711	-3557.71104224458	43374.948653246	14890886.0
1	3.4000000000000004	3.45	44229.143424947746	-1401.140433850171	45630.283858022136	14885922.0
1	3.5	3.55	45405.65742015985	-642.3043340640073	46047.96175349141	14839115.0
1	3.6	3.65	41157.0340079446	9442.437260109804	31714.59674726188	14813912.0
1	3.7	3.75	40688.41216763531	-707.5086588078298	41395.92082569572	14803918.0
1	3.8000000000000003	3.85	35721.973870820904	-1749.026664075053	37471.00053410884	14769982.0
1	3.9000000000000004	3.95	35629.28136851984	5631.789054586224	29997.492313148778	14717694.0
1	4.0	4.05	37003.22829384873	-3392.5347643306227	40395.763057339944	14680417.0
1	4.1000000000000005	4.15	19535.109126816384	-1675.5203489467483	21210.629475507198	14651644.0
1	4.2	4.25	21395.58317558446	3076.3291557862885	18319.254019802163	14622423.0
1	4.3	4.35	15448.930191154506	1876.523002085665	13572.407189140644	14531637.0
1	4.4	4.45	7209.329877336923	-4272.920449420823	11482.250326771224	14500609.0
1	4.5	4.55	10459.731970004183	-2453.7203723255343	12913.452342356095	14481369.0
1	4.6000000000000005	4.65	10158.528827693577	6823.511927417966	3335.0169002985067	14462981.0
1	4.7	4.75	1753.6374554895192	-3619.805437197701	5373.442892733259	14419909.0
1	4.800000000000001	4.8500000000000005	15746.929878387542	-232.17790977234546	15979.107788224239	14390702.0
1	4.9	4.95	10438.380188596933	-5664.994948703901	16103.37513735238	14371706.0
1	5.0	5.05	4807.684398560409	7408.892329512249	-2601.207930893025	14301949.0
1	5.1000000000000005	5.15	5689.021745155975	-1640.3176918393808	7329.339437004246	14282399.0
1	5.2	5.25	-4116.380764161845	833.3712497781737	-4949.752013913169	14242293.0
1	5.300000000000001	5.3500000000000005	4391.397370550306	838.1052934183203	3553.2920771217973	14183897.0
1	5.4	5.45	7755.241721063362	-3693.3598320302276	11448.601553129489	14157423.0
1	5.5	5.55	5863.063694184492	-935.4618148353347	6798.525509109952	14111943.0
1	5.6000000000000005	5.65	2537.2371104388963	1865.1854409028972	672.0516695566708	14122046.0
1	5.7	5.75	459.724519454446	-265.162427878231	724.886947417869	14078238.0
1	5.800000000000001	5.8500000000000005	5849.184015734607	-5369.400381734175	11218.584397572627	14037870.0
1	5.9	5.95	4610.410284426806	-3005.1671377954813	7615.577422261313	14001628.0
1	6.0	6.05	11702.17323061252	4075.9361699501737	7626.237060744132	13987918.0
1	6.1000000000000005	6.15	2161.307822380255	1080.9307353833365	1080.3770870585943	13967205.0
1	6.2	6.25	-989.6759084679837	-3092.9043779707513	2103.228469623091	13904678.0
