chrom	bin.left.bound	bin.center	cor.pop	cor.bg	cor.substracted	n.pairs
1	0.10000	0.15000	5091.70715	140.40051	4951.30664	113560.00000
1	0.20000	0.25000	4583.37650	251.42415	4331.95235	113211.00000
1	0.30000	0.35000	4115.89077	136.93036	3978.96041	113641.00000
1	0.40000	0.45000	3594.64765	-56.81556	3651.46321	113063.00000
1	0.50000	0.55000	3446.86931	64.43132	3382.43798	113362.00000
1	0.60000	0.65000	3090.30709	-24.63901	3114.94610	112191.00000
1	0.70000	0.75000	2713.61532	159.59528	2554.02004	112334.00000
1	0.80000	0.85000	2382.67642	31.13532	2351.54110	111964.00000
1	0.90000	0.95000	2215.34383	23.45650	2191.88733	111596.00000
1	1.00000	1.05000	2071.49898	-2.08535	2073.58434	112090.00000
1	1.10000	1.15000	1794.42023	51.53447	1742.88576	110827.00000
1	1.20000	1.25000	1646.16057	-5.36711	1651.52768	110831.00000
1	1.30000	1.35000	1826.57170	170.00337	1656.56833	110815.00000
1	1.40000	1.45000	1500.31997	68.90914	1431.41083	110060.00000
1	1.50000	1.55000	1347.42360	71.68212	1275.74148	110076.00000
1	1.60000	1.65000	1540.09280	111.47402	1428.61878	109770.00000
1	1.70000	1.75000	1218.06503	-186.85337	1404.91840	109775.00000
1	1.80000	1.85000	1218.03386	160.18960	1057.84427	109235.00000
1	1.90000	1.95000	934.14427	-46.48669	980.63096	108540.00000
1	2.00000	2.05000	830.01647	86.51213	743.50434	108532.00000
1	2.10000	2.15000	1070.42382	222.15452	848.26930	108863.00000
1	2.20000	2.25000	678.70287	58.43927	620.26360	108763.00000
1	2.30000	2.35000	735.20940	52.82813	682.38127	108067.00000
1	2.40000	2.45000	586.26925	78.33805	507.93121	107780.00000
1	2.50000	2.55000	679.05432	-48.98508	728.03939	106924.00000
1	2.60000	2.65000	431.37772	-36.00534	467.38306	106945.00000
1	2.70000	2.75000	443.89273	16.98056	426.91216	106602.00000
1	2.80000	2.85000	370.35809	137.48515	232.87295	106693.00000
1	2.90000	2.95000	290.61500	98.43406	192.18095	106674.00000
1	3.00000	3.05000	388.41856	42.04213	346.37644	105818.00000
1	3.10000	3.15000	433.46920	39.19494	394.27426	106328.00000
1	3.20000	3.25000	343.13955	21.21390	321.92565	105866.00000
1	3.30000	3.35000	158.80490	-57.33742	216.14231	106055.00000
1	3.40000	3.45000	319.88990	23.96661	295.92329	104936.00000
1	3.50000	3.55000	395.82792	-45.20151	441.02943	105312.00000
1	3.60000	3.65000	171.44197	-78.59116	250.03312	104527.00000
1	3.70000	3.75000	312.71690	82.98824	229.72867	105123.00000
1	3.80000	3.85000	315.95822	24.96236	290.99586	104874.00000
1	3.90000	3.95000	381.78614	37.59200	344.19413	104598.00000
1	4.00000	4.05000	198.65221	-72.38364	271.03585	103735.00000
1	4.10000	4.15000	212.87727	11.69297	201.18430	103487.00000
1	4.20000	4.25000	-16.21325	-38.67469	22.46144	103996.00000
1	4.30000	4.35000	274.74399	-14.25758	289.00157	104124.00000
1	4.40000	4.45000	28.60556	47.14790	-18.54234	102682.00000
1	4.50000	4.55000	141.99504	-1.84824	143.84327	103525.00000
1	4.60000	4.65000	133.80786	125.63721	8.17065	103036.00000
1	4.70000	4.75000	65.51556	-83.23870	148.75427	101838.00000
1	4.80000	4.85000	96.11310	-34.18279	130.29589	102138.00000
1	4.90000	4.95000	254.91718	58.33484	196.58234	102674.00000
2	0.10000	0.15000	4172.02956	95.53598	4076.49358	114587.00000
2	0.20000	0.25000	3561.71219	14.78703	3546.92516	114895.00000
2	0.30000	0.35000	3170.57571	-83.61343	3254.18914	115024.00000
2	0.40000	0.45000	2920.40839	-20.32898	2940.73737	114613.00000
2	0.50000	0.55000	2791.23960	30.54112	2760.69848	114808.00000
2	0.60000	0.65000	2283.20462	212.60444	2070.60019	114082.00000
2	0.70000	0.75000	2256.41465	46.54151	2209.87314	113594.00000
2	0.80000	0.85000	2067.86818	10.52351	2057.34468	113262.00000
2	0.90000	0.95000	1838.89229	56.62391	1782.26838	112423.00000
2	1.00000	1.05000	1715.42236	69.10779	1646.31457	112478.00000
2	1.10000	1.15000	1740.16516	129.83271	1610.33246	112707.00000
2	1.20000	1.25000	1580.83150	72.82495	1508.00655	112851.00000
2	1.30000	1.35000	1289.84221	-63.92069	1353.76291	111861.00000
2	1.40000	1.45000	1165.68696	32.08565	1133.60131	112455.00000
2	1.50000	1.55000	1112.70685	13.75907	1098.94778	111173.00000
2	1.60000	1.65000	1006.12113	87.44726	918.67387	111548.00000
2	1.70000	1.75000	787.70594	26.08586	761.62009	110287.00000
2	1.80000	1.85000	865.93001	66.67540	799.25461	111055.00000
2	1.90000	1.95000	732.59327	25.47655	707.11672	110458.00000
2	2.00000	2.05000	610.25989	-57.18314	667.44303	110126.00000
2	2.10000	2.15000	455.33589	-84.04734	539.38323	110157.00000
2	2.20000	2.25000	487.81093	-6.26162	494.07255	110252.00000
2	2.30000	2.35000	610.55174	113.46098	497.09075	109147.00000
2	2.40000	2.45000	536.12675	55.23438	480.89237	109641.00000
2	2.50000	2.55000	376.39844	-78.05311	454.45155	109688.00000
2	2.60000	2.65000	372.86535	-13.29550	386.16085	109619.00000
2	2.70000	2.75000	332.83540	-3.14222	335.97762	107942.00000
2	2.80000	2.85000	382.30386	54.84239	327.46147	108449.00000
2	2.90000	2.95000	401.45769	19.15991	382.29778	107884.00000
2	3.00000	3.05000	504.44125	54.56234	449.87891	107754.00000
2	3.10000	3.15000	309.67441	-18.25009	327.92450	107383.00000
2	3.20000	3.25000	343.89557	33.38251	310.51306	106465.00000
2	3.30000	3.35000	313.52783	93.44652	220.08131	107088.00000
2	3.40000	3.45000	261.88171	25.81655	236.06516	106187.00000
2	3.50000	3.55000	138.51581	-14.46174	152.97755	106620.00000
2	3.60000	3.65000	163.39769	-39.98106	203.37875	107159.00000
2	3.70000	3.75000	191.62510	14.80429	176.82081	106810.00000
2	3.80000	3.85000	254.55042	-34.32056	288.87098	106040.00000
2	3.90000	3.95000	329.90210	56.33732	273.56479	105424.00000
2	4.00000	4.05000	253.41942	-4.10165	257.52106	105503.00000
2	4.10000	4.15000	155.18797	30.94264	124.24533	105368.00000
2	4.20000	4.25000	233.35246	-16.28375	249.63621	105512.00000
2	4.30000	4.35000	203.42547	-80.51662	283.94209	106053.00000
2	4.40000	4.45000	239.10151	-62.87066	301.97217	104641.00000
2	4.50000	4.55000	326.60163	74.97315	251.62848	104812.00000
2	4.60000	4.65000	81.37933	-111.47563	192.85496	103622.00000
2	4.70000	4.75000	308.54882	-35.52927	344.07808	104635.00000
2	4.80000	4.85000	315.68451	98.13078	217.55374	104162.00000
2	4.90000	4.95000	375.25993	83.47130	291.78863	103959.00000
3	0.10000	0.15000	3422.33778	215.97038	3206.36740	123502.00000
3	0.20000	0.25000	2752.76325	86.47837	2666.28488	123526.00000
3	0.30000	0.35000	2493.03304	74.99493	2418.03811	124575.00000
3	0.40000	0.45000	2270.16397	96.07327	2174.09070	124653.00000
3	0.50000	0.55000	2098.64449	141.49621	1957.14828	123844.00000
3	0.60000	0.65000	1678.77330	-30.55980	1709.33310	124276.00000
3	0.70000	0.75000	1682.82444	-56.45415	1739.27859	124036.00000
3	0.80000	0.85000	1503.94880	28.78089	1475.16792	123090.00000
3	0.90000	0.95000	1388.51257	92.58756	1295.92501	123953.00000
3	1.00000	1.05000	1346.55326	16.12880	1330.42445	123922.00000
3	1.10000	1.15000	1083.21551	-53.75197	1136.96748	122362.00000
3	1.20000	1.25000	955.96421	61.58766	894.37655	122656.00000
3	1.30000	1.35000	910.02475	42.35695	867.66780	122564.00000
3	1.40000	1.45000	884.78723	142.02002	742.76721	122349.00000
3	1.50000	1.55000	725.32811	-36.69950	762.02761	120942.00000
3	1.60000	1.65000	768.62674	92.42800	676.19874	121564.00000
3	1.70000	1.75000	545.56023	-20.73129	566.29152	121586.00000
3	1.80000	1.85000	684.55224	-3.50096	688.05320	121732.00000
3	1.90000	1.95000	441.19755	-85.77361	526.97116	121213.00000
3	2.00000	2.05000	539.40935	-40.06682	579.47616	120698.00000
