chrom	bin.left.bound	bin.center	cor.pop	cor.bg	cor.substracted	n.pairs
1	0.10000	0.15000	5083.88007	236.12608	4847.75399	113515.00000
1	0.20000	0.25000	4581.41317	289.72867	4291.68450	113173.00000
1	0.30000	0.35000	4112.73924	205.75020	3906.98904	113612.00000
1	0.40000	0.45000	3594.81203	10.82635	3583.98569	113062.00000
1	0.50000	0.55000	3446.86931	44.23872	3402.63059	113362.00000
1	0.60000	0.65000	3090.30709	-27.65711	3117.96420	112191.00000
1	0.70000	0.75000	2713.61532	7.70005	2705.91527	112334.00000
1	0.80000	0.85000	2382.67642	17.57362	2365.10280	111964.00000
1	0.90000	0.95000	2215.34383	-3.27541	2218.61924	111596.00000
1	1.00000	1.05000	2071.49898	36.78992	2034.70906	112090.00000
1	1.10000	1.15000	1794.42023	-25.49199	1819.91222	110827.00000
1	1.20000	1.25000	1646.16057	-49.12284	1695.28341	110831.00000
1	1.30000	1.35000	1826.57170	63.39294	1763.17876	110815.00000
1	1.40000	1.45000	1500.31997	153.40037	1346.91959	110060.00000
1	1.50000	1.55000	1347.42360	103.76453	1243.65906	110076.00000
1	1.60000	1.65000	1540.09280	116.54565	1423.54716	109770.00000
1	1.70000	1.75000	1218.06503	-16.70984	1234.77487	109775.00000
1	1.80000	1.85000	1218.03386	64.82681	1153.20705	109235.00000
1	1.90000	1.95000	934.14427	48.37435	885.76991	108540.00000
1	2.00000	2.05000	830.01647	42.66049	787.35598	108532.00000
1	2.10000	2.15000	1070.42382	305.15043	765.27338	108863.00000
1	2.20000	2.25000	678.70287	75.44676	603.25611	108763.00000
1	2.30000	2.35000	735.20940	17.79810	717.41131	108067.00000
1	2.40000	2.45000	586.26925	29.80588	556.46338	107780.00000
1	2.50000	2.55000	679.05432	70.90122	608.15310	106924.00000
1	2.60000	2.65000	431.37772	-70.05992	501.43764	106945.00000
1	2.70000	2.75000	443.89273	-66.93609	510.82881	106602.00000
1	2.80000	2.85000	370.35809	32.82281	337.53528	106693.00000
1	2.90000	2.95000	290.61500	45.67464	244.94037	106674.00000
1	3.00000	3.05000	388.41856	57.68245	330.73611	105818.00000
1	3.10000	3.15000	433.46920	92.71859	340.75061	106328.00000
1	3.20000	3.25000	343.13955	70.72251	272.41704	105866.00000
1	3.30000	3.35000	158.80490	-84.64720	243.45210	106055.00000
1	3.40000	3.45000	319.88990	102.21364	217.67625	104936.00000
1	3.50000	3.55000	395.82792	45.39824	350.42967	105312.00000
1	3.60000	3.65000	171.44197	6.48731	164.95465	104527.00000
1	3.70000	3.75000	312.71690	74.37145	238.34545	105123.00000
1	3.80000	3.85000	315.95822	-8.50132	324.45955	104874.00000
1	3.90000	3.95000	381.78614	51.03781	330.74832	104598.00000
1	4.00000	4.05000	198.65221	-17.31827	215.97048	103735.00000
1	4.10000	4.15000	212.87727	22.91030	189.96697	103487.00000
1	4.20000	4.25000	-16.21325	-70.57669	54.36343	103996.00000
1	4.30000	4.35000	274.74399	-44.30767	319.05166	104124.00000
1	4.40000	4.45000	28.60556	-20.80142	49.40698	102682.00000
1	4.50000	4.55000	141.99504	-97.48025	239.47529	103525.00000
1	4.60000	4.65000	133.80786	58.20404	75.60382	103036.00000
1	4.70000	4.75000	65.51556	12.84070	52.67486	101838.00000
1	4.80000	4.85000	96.11310	-9.19827	105.31137	102138.00000
1	4.90000	4.95000	254.91718	6.14061	248.77657	102674.00000
2	0.10000	0.15000	4165.33053	261.24577	3904.08476	114440.00000
2	0.20000	0.25000	3560.03409	171.19291	3388.84117	114793.00000
2	0.30000	0.35000	3172.13591	-84.51338	3256.64929	114890.00000
2	0.40000	0.45000	2915.25733	-39.20713	2954.46447	114495.00000
2	0.50000	0.55000	2789.81822	47.58374	2742.23448	114781.00000
2	0.60000	0.65000	2283.20462	157.05011	2126.15451	114082.00000
2	0.70000	0.75000	2256.41465	36.58315	2219.83151	113594.00000
2	0.80000	0.85000	2067.86818	29.33536	2038.53282	113262.00000
2	0.90000	0.95000	1838.89229	41.54732	1797.34497	112423.00000
2	1.00000	1.05000	1715.42236	-19.68234	1735.10470	112478.00000
2	1.10000	1.15000	1740.16516	32.56377	1707.60139	112707.00000
2	1.20000	1.25000	1580.83150	93.41301	1487.41850	112851.00000
2	1.30000	1.35000	1289.84221	-45.60393	1335.44614	111861.00000
2	1.40000	1.45000	1165.68696	72.17312	1093.51384	112455.00000
2	1.50000	1.55000	1112.70685	-0.94815	1113.65500	111173.00000
2	1.60000	1.65000	1006.12113	-10.20125	1016.32237	111548.00000
2	1.70000	1.75000	787.70594	-37.67099	825.37694	110287.00000
2	1.80000	1.85000	865.93001	-15.17878	881.10879	111055.00000
2	1.90000	1.95000	732.59327	-38.19949	770.79276	110458.00000
2	2.00000	2.05000	610.25989	-17.24487	627.50475	110126.00000
2	2.10000	2.15000	455.33589	-44.22680	499.56269	110157.00000
2	2.20000	2.25000	487.81093	-112.92194	600.73287	110252.00000
2	2.30000	2.35000	610.55174	39.79291	570.75883	109147.00000
2	2.40000	2.45000	536.12675	73.97419	462.15256	109641.00000
2	2.50000	2.55000	376.39844	-70.23365	446.63209	109688.00000
2	2.60000	2.65000	372.86535	14.83502	358.03033	109619.00000
2	2.70000	2.75000	332.83540	-110.26098	443.09639	107942.00000
2	2.80000	2.85000	382.30386	-11.66850	393.97236	108449.00000
2	2.90000	2.95000	401.45769	-35.81137	437.26906	107884.00000
2	3.00000	3.05000	504.44125	86.22076	418.22049	107754.00000
2	3.10000	3.15000	309.67441	2.49098	307.18342	107383.00000
2	3.20000	3.25000	343.89557	16.75105	327.14452	106465.00000
2	3.30000	3.35000	313.52783	63.82890	249.69893	107088.00000
2	3.40000	3.45000	261.88171	105.30396	156.57775	106187.00000
2	3.50000	3.55000	138.51581	-62.03508	200.55089	106620.00000
2	3.60000	3.65000	163.39769	25.53506	137.86263	107159.00000
2	3.70000	3.75000	191.62510	44.43227	147.19282	106810.00000
2	3.80000	3.85000	254.55042	-66.38836	320.93878	106040.00000
2	3.90000	3.95000	329.90210	30.50272	299.39938	105424.00000
2	4.00000	4.05000	253.41942	61.20100	192.21842	105503.00000
2	4.10000	4.15000	155.18797	-93.03589	248.22386	105368.00000
2	4.20000	4.25000	233.35246	28.08205	205.27041	105512.00000
2	4.30000	4.35000	203.42547	-12.51061	215.93608	106053.00000
2	4.40000	4.45000	239.10151	-16.94530	256.04681	104641.00000
2	4.50000	4.55000	326.60163	128.46104	198.14059	104812.00000
2	4.60000	4.65000	81.37933	-70.10813	151.48746	103622.00000
2	4.70000	4.75000	308.54882	-13.71670	322.26552	104635.00000
2	4.80000	4.85000	315.68451	70.62569	245.05883	104162.00000
2	4.90000	4.95000	375.25993	45.20369	330.05624	103959.00000
3	0.10000	0.15000	3426.92878	326.96284	3099.96594	123678.00000
3	0.20000	0.25000	2753.58972	96.24864	2657.34108	123602.00000
3	0.30000	0.35000	2492.24673	21.31140	2470.93532	124734.00000
3	0.40000	0.45000	2273.25983	28.22704	2245.03279	124753.00000
3	0.50000	0.55000	2098.53493	179.71956	1918.81537	123850.00000
3	0.60000	0.65000	1678.77330	96.87412	1581.89918	124276.00000
3	0.70000	0.75000	1682.82444	47.42023	1635.40421	124036.00000
3	0.80000	0.85000	1503.94880	-35.80793	1539.75674	123090.00000
3	0.90000	0.95000	1388.51257	45.90063	1342.61194	123953.00000
3	1.00000	1.05000	1346.55326	69.48961	1277.06365	123922.00000
3	1.10000	1.15000	1083.21551	25.26710	1057.94841	122362.00000
3	1.20000	1.25000	955.96421	51.17682	904.78739	122656.00000
3	1.30000	1.35000	910.02475	27.62718	882.39758	122564.00000
3	1.40000	1.45000	884.78723	121.43277	763.35447	122349.00000
3	1.50000	1.55000	725.32811	-15.94154	741.26964	120942.00000
3	1.60000	1.65000	768.62674	63.21889	705.40785	121564.00000
3	1.70000	1.75000	545.56023	-102.07880	647.63904	121586.00000
3	1.80000	1.85000	684.55224	28.85367	655.69857	121732.00000
3	1.90000	1.95000	441.19755	-120.56909	561.76665	121213.00000
3	2.00000	2.05000	539.40935	-24.89550	564.30485	120698.00000
3	2.10000	2.15000	408.94600	-40.30209	449.24808	120257.00000
3	2.20000	2.25000	558.54181	90.69554	467.84627	120129.00000
3	2.30000	2.35000	507.48533	-33.09872	540.58406	120578.00000
3	2.40000	2.45000	393.87850	-58.76396	452.64246	120301.00000
3	2.50000	2.55000	289.25690	-69.08763	358.34453	119660.00000
3	2.60000	2.65000	351.79968	-31.47533	383.27501	119157.00000
3	2.70000	2.75000	440.72519	-13.01084	453.73602	118017.00000
3	2.80000	2.85000	312.75905	16.12808	296.63097	118686.00000
3	2.90000	2.95000	291.33868	-10.30106	301.63974	118914.00000
3	3.00000	3.05000	401.43992	47.04660	354.39332	117824.00000
3	3.10000	3.15000	268.34213	88.77159	179.57054	117525.00000
3	3.20000	3.25000	215.06117	-12.66245	227.72361	117218.00000
3	3.30000	3.35000	26.25673	57.02695	-30.77022	118279.00000
3	3.40000	3.45000	213.59062	116.20459	97.38603	117123.00000
3	3.50000	3.55000	264.08123	90.96274	173.11849	117309.00000
3	3.60000	3.65000	-46.59099	-119.40826	72.81726	117514.00000
3	3.70000	3.75000	195.22758	-2.46803	197.69561	117258.00000
3	3.80000	3.85000	193.47487	-16.33241	209.80728	115873.00000
3	3.90000	3.95000	224.39563	36.32708	188.06855	115936.00000
3	4.00000	4.05000	249.39905	6.37708	243.02197	115155.00000
3	4.10000	4.15000	69.20983	65.92505	3.28478	114830.00000
3	4.20000	4.25000	189.98461	67.06178	122.92283	115018.00000
3	4.30000	4.35000	50.17558	-26.06572	76.24130	115140.00000
3	4.40000	4.45000	120.26828	-53.83733	174.10562	115254.00000
3	4.50000	4.55000	164.53950	49.09073	115.44877	114049.00000
3	4.60000	4.65000	109.57880	87.82784	21.75095	114774.00000
3	4.70000	4.75000	108.54551	13.91883	94.62668	114015.00000
3	4.80000	4.85000	-16.82014	23.92725	-40.74739	113192.00000
3	4.90000	4.95000	232.75748	88.73848	144.01900	113177.00000
